"unknown","tcp","60","","3.8E-5"
"ni-mail","tcp","61","NI MAIL","0.0"
"ni-mail","udp","61","NI MAIL","4.61E-4"
"acas","tcp","62","ACA Services","0.0"
"acas","udp","62","ACA Services","2.64E-4"
"via-ftp","tcp","63","whoispp | VIA Systems - FTP & whois++ | whois++","0.0"
"via-ftp","udp","63","VIA Systems - FTP & whois++","4.45E-4"
"covia","tcp","64","Communications Integrator (CI)","0.0"
"covia","udp","64","Communications Integrator (CI)","5.93E-4"
"tacacs-ds","tcp","65","TACACS-Database Service","1.3E-5"
"tacacs-ds","udp","65","TACACS-Database Service","7.41E-4"
"sqlnet","tcp","66","sql*net | sql-net | Oracle SQL*NET","7.5E-5"
"sqlnet","udp","66","Oracle SQL*NET","5.44E-4"
"dhcps","tcp","67","bootps | DHCP/Bootstrap Protocol Server | Bootstrap Protocol Server","1.3E-5"
"dhcps","udp","67","DHCP/Bootstrap Protocol Server","0.22801"
"dhcpc","tcp","68","bootpc | DHCP/Bootstrap Protocol Client | Bootstrap Protocol Client","6.3E-5"
"dhcpc","udp","68","DHCP/Bootstrap Protocol Client","0.140118"
"tftp","tcp","69","Trivial File Transfer","3.8E-5"
"tftp","udp","69","Trivial File Transfer","0.102835"
"gopher","tcp","70","","2.26E-4"
"gopher","udp","70","","5.44E-4"
"netrjs-1","tcp","71","Remote Job Service","2.5E-5"
"netrjs-1","udp","71","Remote Job Service","5.6E-4"
"netrjs-2","tcp","72","Remote Job Service","1.3E-5"
"netrjs-2","udp","72","Remote Job Service","4.94E-4"
"netrjs-3","tcp","73","Remote Job Service","2.5E-5"
"netrjs-3","udp","73","Remote Job Service","4.28E-4"
"netrjs-4","tcp","74","Remote Job Service","2.5E-5"
"netrjs-4","udp","74","Remote Job Service","4.78E-4"
"priv-dial","tcp","75","any private dial out service","6.3E-5"
"priv-dial","udp","75","any private dial out service","5.77E-4"
"deos","tcp","76","Distributed External Object Store","6.3E-5"
"deos","udp","76","Distributed External Object Store","6.75E-4"
"priv-rje","tcp","77","any private RJE service","1.13E-4"
"priv-rje","udp","77","any private RJE service","7.41E-4"
"vettcp","tcp","78","","0.0"
"vettcp","udp","78","","6.26E-4"
"finger","tcp","79","","0.006022"
"finger","udp","79","","9.56E-4"
"http","sctp","80","www-http | www | World Wide Web HTTP","0.0"
"http","tcp","80","World Wide Web HTTP","0.484143"
"http","udp","80","World Wide Web HTTP","0.035767"
"hosts2-ns","tcp","81","HOSTS2 Name Server","0.012056"
"hosts2-ns","udp","81","HOSTS2 Name Server","0.001005"
"xfer","tcp","82","XFER Utility","0.002923"
"xfer","udp","82","XFER Utility","6.59E-4"
"mit-ml-dev","tcp","83","MIT ML Device","5.39E-4"
"mit-ml-dev","udp","83","MIT ML Device","0.001203"
"ctf","tcp","84","Common Trace Facility","2.76E-4"
"ctf","udp","84","Common Trace Facility","6.1E-4"
"mit-ml-dev","tcp","85","MIT ML Device","6.9E-4"
"mit-ml-dev","udp","85","MIT ML Device","6.1E-4"
"mfcobol","tcp","86","Micro Focus Cobol","1.38E-4"
"mfcobol","udp","86","Micro Focus Cobol","8.24E-4"
"priv-term-l","tcp","87","any private terminal link","1.25E-4"
"kerberos-sec","tcp","88","kerberos | Kerberos (v5) | Kerberos","0.006072"
"kerberos-sec","udp","88","Kerberos (v5)","0.013476"
"su-mit-tg","tcp","89","SU/MIT Telnet Gateway","3.76E-4"
"su-mit-tg","udp","89","SU/MIT Telnet Gateway","4.94E-4"
"dnsix","tcp","90","DNSIX Securit Attribute Token Map","6.52E-4"
"dnsix","udp","90","DNSIX Securit Attribute Token Map","5.11E-4"
"mit-dov","tcp","91","MIT Dover Spooler","6.3E-5"
"mit-dov","udp","91","MIT Dover Spooler","4.78E-4"
"npp","tcp","92","Network Printing Protocol","5.0E-5"
"npp","udp","92","Network Printing Protocol","4.78E-4"
"dcp","tcp","93","Device Control Protocol","2.5E-5"
"dcp","udp","93","Device Control Protocol","7.74E-4"
"objcall","tcp","94","Tivoli Object Dispatcher","2.5E-5"
"objcall","udp","94","Tivoli Object Dispatcher","4.28E-4"
"supdup","tcp","95","BSD supdupd(8)","2.5E-5"
"supdup","udp","95","","3.79E-4"
"dixie","tcp","96","DIXIE Protocol Specification","1.3E-5"
"dixie","udp","96","DIXIE Protocol Specification","9.39E-4"
"swift-rvf","tcp","97","Swift Remote Virtural File Protocol","3.8E-5"
"swift-rvf","udp","97","Swift Remote Virtural File Protocol","3.62E-4"
"linuxconf","tcp","98","tacnews | TAC News","8.8E-5"
"tacnews","udp","98","TAC News","5.6E-4"
"metagram","tcp","99","Metagram Relay","3.26E-4"
"metagram","udp","99","Metagram Relay","9.72E-4"
